Parada,2016,2015,2014,2013
Basauri,1327329,1334374,1317040,1291853
Ariz,1923114,1908874,2046236,2007223
Etxebarri,1364903,1437160,1362305,1332371
Bolueta,1438834,1265624,1169552,1133394
Basarrate,2135721,2151766,2154600,2147980
Santutxu,4611211,4651238,4633297,4663570
Zazpikaleak/Casco Viejo,5320703,5677617,5779965,5988909
Abando,6336453,6141887,5973068,5948390
Moyua,6287927,6220196,6153620,6189467
Indautxu,6074709,6184740,6160455,6089346
San Mamés,5980716,6056465,5873015,5873240
Deusto,4069564,4118341,4161514,4234870
Sarriko,2406074,2396347,2390051,2425761
San Inazio,2332298,2283368,2288490,2312943
Lutxana,524759,368979,172226,170638
Erandio,1626077,1650714,1697058,1698813
Astrabudua,1254615,1308539,1369091,1366987
Leioa,1020099,1025752,1014852,1005282
Lamiako,303380,298524,302007,296330
Areeta,3266926,3311874,3357754,3338313
Gobela,813713,815136,825852,841480
Neguri,662129,661586,659554,669108
Aiboa,399745,399739,400193,410027
Algorta,2328113,2364805,2387899,2400846
Bidezabal,1342501,1372709,1404479,1398186
Berango,384295,384714,378436,382852
Larrabasterra,448898,457661,423106,426285
Sopela,1015518,945066,586914,582828
Urduliz,184,77173,316909,311796
Plentzia,1110,117020,656606,653253
Gurutzeta/Cruces,3473386,3510319,3521871,3517314
Ansio,1260888,1260592,1297218,1210514
Barakaldo,3536912,3551226,3582258,3572670
Bagatza,1914249,1924411,1894186,1882988
Urbinaga,112769,108285,99367,102625
Sestao,2256266,2325160,2304404,2333309
Abatxolo,742132,767411,769004,77619
Portugalete,2049446,2085085,2041467,2030599
Peñota,1329204,1356405,1369212,1375422
Santurtzi,2506337,2356964,2652089,2739059
Kabiezes,922081,901969,450174,0